,Word,Counts
0,great location,1.0
1,great host,0.8651215805471124
2,walking distance,0.7798252279635258
3,highly recommend,0.771466565349544
4,place stay,0.6717325227963525
5,definitely stay,0.6485562310030395
6,house,0.6358282674772037
7,great place,0.5127279635258358
8,stay Boston,0.5058890577507599
9,definitely recommend,0.5003799392097265
10,everything needed,0.48879179331306993
11,clean comfortable,0.46086626139817627
12,one,0.44376899696048633
13,apartment clean,0.42990121580547114
14,even,0.42629179331306993
15,home,0.4183130699088146
16,enjoyed stay,0.4181231003039514
17,great stay,0.4131838905775076
18,minute walk,0.39950607902735563
19,recommend place,0.3822188449848024
20,location great,0.3706306990881459
21,gave us,0.3575227963525836
22,room clean,0.34688449848024316
23,lot,0.3427051671732523
24,us feel,0.3368161094224924
25,North End,0.33586626139817627
26,guest,0.33358662613981765
27,area,0.33206686930091184
28,apartment great,0.3316869300911854
29,great experience,0.33092705167173253
30,place great,0.3235182370820669
31,room,0.32142857142857145
32,space,0.32066869300911854
33,problem,0.3204787234042553
34,made us,0.314209726443769
35,within walking,0.31401975683890576
36,really nice,0.31382978723404253
37,come back,0.31344984802431614
38,great time,0.3125
39,bed comfortable,0.3094604863221885
40,friend,0.30167173252279633
41,downtown Boston,0.2986322188449848
42,will definitely,0.29749240121580545
43,night,0.2961626139817629
44,public transportation,0.293693009118541
45,short walk,0.2916033434650456
46,place clean,0.2906534954407295
47,visit Boston,0.28799392097264437
48,time Boston,0.2876139817629179
49,recommend staying,0.28685410334346506
50,location perfect,0.2862841945288754
51,building,0.28552431610942247
52,Thank,0.28495440729483285
53,unit,0.2828647416413374
54,easy access,0.28058510638297873
55,people,0.27944528875379937
56,really enjoyed,0.27887537993920974
57,next time,0.27640577507598785
58,town,0.2731762917933131
59,city,0.2712765957446808
60,found,0.2701367781155015
61,loved,0.26424772036474165
62,issue,0.2640577507598784
63,bedroom,0.2632978723404255
64,everything need,0.26253799392097266
65,work,0.26120820668693007
66,exactly described,0.2587386018237082
67,stayed,0.2558890577507599
68,feel welcome,0.25512917933130697
69,got,0.25284954407294835
70,perfect location,0.251709726443769
71,need,0.24867021276595744
72,Airbnb experience,0.2473404255319149
73,wonderful host,0.24677051671732522
74,awesome,0.2393617021276596
75,much,0.23898176291793313
76,clean well,0.2378419452887538
77,thing,0.23632218844984804
78,etc,0.23575227963525835
79,family,0.23461246200607902
80,Although,0.2344224924012158
81,first time,0.23347264437689969
82,Back Bay,0.23309270516717326
83,arrived,0.23252279635258358
84,living room,0.2317629179331307
85,Highly recommended,0.22872340425531915
86,left,0.22625379939209728
87,trip Boston,0.21808510638297873
88,studio,0.21732522796352582
89,apt,0.2159954407294833
90,stay great,0.21504559270516718
91,accommodation,0.21409574468085107
92,made sure,0.2135258358662614
93,provided,0.2099164133738602
94,comfortable bed,0.20972644376899696
95,Jamaica Plain,0.20402735562310031
96,Overall,0.2038373860182371
97,make sure,0.2032674772036474
98,Boston Common,0.1987082066869301
99,nice clean,0.1981382978723404
100,especially,0.1979483282674772
101,visiting Boston,0.19661854103343465
102,well equipped,0.1952887537993921
103,Beacon Hill,0.1945288753799392
104,feel home,0.19129939209726443
105,even though,0.19072948328267478
106,first Airbnb,0.19072948328267478
107,nice place,0.19034954407294832
108,amazing,0.18939969604863222
109,one night,0.189209726443769
110,nearby,0.18806990881458965
111,train station,0.1875
112,little,0.18712006079027355
113,use,0.18712006079027355
114,subway station,0.185790273556231
115,automated posting,0.18370060790273557
116,Boston great,0.18351063829787234
117,made feel,0.18351063829787234
118,arrival automated,0.18351063829787234
119,flat,0.1831306990881459
120,fantastic,0.18066109422492402
121,conveniently located,0.18066109422492402
122,plu,0.17952127659574468
123,back Boston,0.178951367781155
124,excellent,0.1787613981762918
125,Freedom Trail,0.177241641337386
126,though,0.1762917933130699
127,breakfast,0.17572188449848025
128,good location,0.17515197568389057
129,way,0.17458206686930092
130,still,0.17458206686930092
131,think,0.1743920972644377
132,lovely,0.17325227963525835
133,small,0.17325227963525835
134,know,0.17325227963525835
135,condo,0.1726823708206687
136,well located,0.17230243161094225
137,used,0.17211246200607902
138,amenities,0.17154255319148937
139,stay apartment,0.17135258358662614
140,apartment perfect,0.16983282674772038
141,person,0.1683130699088146
142,excellent host,0.16736322188449848
143,see,0.16717325227963525
144,orange line,0.16679331306990883
145,key,0.16641337386018237
146,red line,0.16622340425531915
147,location close,0.1656534954407295
148,morning,0.16546352583586627
149,hotel,0.16527355623100304
150,days arrival,0.16375379939209728
151,spot,0.16242401215805471
152,check check,0.1605243161094225
153,couple,0.15995440729483282
154,minutes walk,0.15995440729483282
155,recommend anyone,0.15938449848024316
156,kind,0.15862462006079028
157,great restaurant,0.15729483282674772
158,fine,0.1571048632218845
159,pleasant,0.1563449848024316
160,friendly helpful,0.1561550151975684
161,alway,0.15501519756838905
162,convenient,0.15463525835866263
163,convenient location,0.15254559270516718
164,place perfect,0.15083586626139817
165,car,0.1502659574468085
166,available,0.15007598784194529
167,quick respond,0.14893617021276595
168,Whole Food,0.14779635258358662
169,house clean,0.14760638297872342
170,felt safe,0.1474164133738602
171,week,0.14608662613981763
172,min walk,0.14551671732522797
173,walk away,0.14532674772036475
174,places eat,0.14532674772036475
175,stay Thank,0.14513677811550152
176,came,0.1441869300911854
177,wonderful stay,0.14399696048632218
178,host canceled,0.14380699088145896
179,property,0.14361702127659576
180,around corner,0.1432370820668693
181,canceled reservation,0.1432370820668693
182,reservation day,0.1432370820668693
183,South End,0.14285714285714285
184,let us,0.1422872340425532
185,going,0.14209726443768997
186,new,0.1413373860182371
187,great apartment,0.1413373860182371
188,love,0.14000759878419453
189,stay place,0.14000759878419453
190,felt home,0.14000759878419453
191,said,0.1388677811550152
192,cool,0.13829787234042554
193,check time,0.1381079027355623
194,live,0.13734802431610943
195,Overall great,0.13658814589665655
196,great neighborhood,0.13639817629179332
197,communication,0.13601823708206687
198,room comfortable,0.135258358662614
199,across street,0.13487841945288753
